6
1,germ
2,claim
3,myth
4,bacteria
5,microorganism
6,tuberculosis
7,influenza
8,banknote
9,circulate
10,circulation
11,handle
12,transmit
13,passenger
14,recirculate
15,filter
16,cough
17,sneeze
18,valid
19,validate
20,validation
21,sponge
22,sink
23,concentrate
24,concentration
25,immediate
26,immediately
27,outbreak
28,detective
29,figure out
30,epidemic
31,parasite
32,parasitic
33,trace
34,treat
35,prevent
36,recover
37,eliminate
38,address
39,root
40,mysterious
41,grind
42,flour
43,speculate
